study,scope,metric,observed,threshold,comparison,status,interpretation
nhi,validation-arm:yoked-action-shift,post-conflict-service-score,0.03129391883838404,,,diagnostic,paired conflict response; not adaptation
nhi,validation-arm:yoked-action-shift,conflict-minus-aligned-service-score,0.01686482714493022,,,diagnostic,paired conflict response; not adaptation
nhi,validation-action:SPAWN,full-minus-neural-semantic-ablated,0.01703813420416366,,,supported-diagnostic-lane,social-to-spawn
nhi,validation-action:SPAWN,full-minus-semantic-utility-ablated,0.008739990055877098,,,supported-diagnostic-lane,social-to-spawn
nhi,validation-action:SPAWN,full-minus-all-semantic-ablated,0.023997973290090076,,,supported-diagnostic-lane,social-to-spawn
nhi,validation-action:SPAWN,full-minus-semantic-cue-shuffled,0.023379262647090303,,,supported-diagnostic-lane,social-to-spawn
nhi,validation-action:DOMINATE,full-minus-neural-semantic-ablated,0.007297740406568413,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,validation-action:DOMINATE,full-minus-semantic-utility-ablated,0.0022947285991137822,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,validation-action:DOMINATE,full-minus-all-semantic-ablated,0.005387749645670247,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,validation-action:DOMINATE,full-minus-semantic-cue-shuffled,0.009563947226013808,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,validation-action:HUNT,full-minus-neural-semantic-ablated,0.018742616897973855,,,supported-diagnostic-lane,resource-to-hunt
nhi,validation-action:HUNT,full-minus-semantic-utility-ablated,0.025178573952840476,,,supported-diagnostic-lane,resource-to-hunt
nhi,validation-action:HUNT,full-minus-all-semantic-ablated,0.041547973819321876,,,supported-diagnostic-lane,resource-to-hunt
nhi,validation-action:HUNT,full-minus-semantic-cue-shuffled,0.03758588742401531,,,supported-diagnostic-lane,resource-to-hunt
nhi,validation-action:MANIPULATE,full-minus-neural-semantic-ablated,-0.0016959499927223232,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,validation-action:MANIPULATE,full-minus-semantic-utility-ablated,0.00042028083441228437,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,validation-action:MANIPULATE,full-minus-all-semantic-ablated,-0.0015887861863510266,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,validation-action:MANIPULATE,full-minus-semantic-cue-shuffled,0.010142725745296607,,,unsupported-do-not-interpret,no direct neural semantic lane
nhi,control-integrity,semantic-shuffle-fixed-points,0,0,=,pass,balanced fixed-point-free derangement
nhi,control-integrity,invalid-yoke-targets,0,0,=,pass,MANIPULATE targets rebound to current rival
